id,text,rating,timestamp,category,subcatgory,product
0,This product works better for me than muv I payed $64 for 1.7 oz for. Great stuff,5,6/11/2018 9:04 PM,hemp-cbd,hemp-topicals,cbd-wellness-cbd-wellness-cbd-rich-pain-relieving-topical-salve
1,[],5,10/25/2016 5:34 PM,hemp-cbd,hemp-tinctures,restorative-botanicals-restore-whole-body-health-hemp-oil-extract
2,"This is high CBD and because it is 6X I only need to use this in the am, and I feel good and am clear headed all day.  Love it!",5,10/25/2016 5:27 PM,hemp-cbd,hemp-tinctures,restorative-botanicals-restore-pure6-hemp-oil-extract-advanced-blend
3,"I use Select CBD as a go to for my retired military dog . I have seen him go from tired, lethargic and not very happy to happy and pain free. my only complaint is the pricing is all over the board and very NON CONSISTENT.",4,4/26/2018 2:21 PM,hemp-cbd,hemp-tinctures,mary-j-mart-select-cbd-oils-1000mg
4,"I've been using REST for 4 weeks now. My sleep has been wonderful and my stress is gone. I've used another company's CBD Oil and have gotten results, but not like ORGANIC RESET's BLENDS. I only use 2 drops before bed. If I use any more my sleep suffers. I tend to wake up. So I have to be diligent and carefully use ONLY 2 drops. If I have a particularly stressful day, I'll take 2 drops in the morning, as well. I absolutely LOVE the blends and look forward to trying the EVERYDAY X2.",5,6/30/2018 12:06 PM,hemp-cbd,hemp-tinctures,organic-reset-rest-blend
5,I notice a calming or soothing sensation more than anything else.    Perfect for my NYC anxiety.,5,9/20/2016 10:06 AM,hemp-cbd,hemp-tinctures,hempmeds-real-scientific-hemp-oil-1oz-100mg-blue-label-tincture
6,"Amazing!  I am so happy to have found this CBD, Hemp oil from Restorative Botanicals.  Finally a product that tastes good and worked!  The spice flavor is super yummy.  I've been using this CBD Hemp oil for over a month and feel better without feeling sleepy.",5,11/1/2016 11:59 PM,hemp-cbd,hemp-tinctures,restorative-botanicals-restore-calm-hemp-oil-supplement
7,[],5,6/30/2018 12:11 PM,hemp-cbd,hemp-tinctures,organic-reset-everyday-x2
8,"Charlotte's Web is the most effective CBD product I have come across. I used this daily for an entire month for no other reason then to see if it would make a difference in my day to day life. What did it do? It made me feel so normal. Normal in the sense that my body and mind were ready to take on any task. I didn't have a single anxious thought or notice any pain in my entire body. It let my body do as it was intended, without all the variables of living in an advanced society getting in the way. It gave me a natural energy. It made me realize how important this stuff really is for human beings. It's a shame I've only recently discovered this. I can only imagine the wonders it could bring to someone terminally ill! The mint chocolate flavor was delicious and it was so easy to forget I had it under my tongue. Shame on the DEA for making this product unavailable for me at the moment. This stuff is true medicine. #420sweepstakes",5,3/23/2017 5:06 AM,hemp-cbd,hemp-tinctures,old-skool-remedies-charlottes-web-mint-chocolate-30ml
9,"I decided to give this a try, since I live in a state where weed is still illegal. I just started taking it yesterday and half already noticed some benefits... I have acid reflux and constipation this almost immediately got things moving better there. It has taken the edge off of my anxiety quite a bit, and usually I have really bad insomnia I take Seroquel for that, last night I took my second dose before bed and slept so good! I woke up feeling more energized, with next to zero anxiety. My only complaint is the price is kinda ​high, as long as I can afford it I will buy more!",5,6/6/2017 8:42 PM,hemp-cbd,hemp-tinctures,old-skool-remedies-charlottes-web-everyday-mint-chocolate-30ml
